Time, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite
53.5, 0.0004, 0.0002, 0.0001, 0
54, 0.0012, 0.0008, 0, 0
54.5, 0.001, 0.0022, 0, 0
55, 0, 0, 0, 0.0001
55.5, 0.001, 0.0014, 0, 0
56, 0.0002, 0.0006, 0, 0
56.5, 0.0004, 0.0002, 0, 0
57, 0, 0, 0, 0.0001
57.5, 0.0012, 0.001, 0, 0.0001
58, 0.0002, 0.0006, 0, 0
58.5, 0.0006, 0, 0, 0
59, 0.001, 0.0006, 0, 0.0001
59.5, 0.0024, 0.0014, 0, 0.0001
60, 0.001, 0, 0, 0
60.5, 0.0014, 0.0018, 0, 0
61, 0.0016, 0, 0, 0.0001
61.5, 0.0008, 0.0012, 0, 0.0002
62, 0.0014, 0.0018, 0, 0
62.5, 0.0018, 0.0008, 0, 0.0002
63, 0.0022, 0.0028, 0, 0
63.5, 0, 0, 0, 0.0001
64, 0.0018, 0.0024, 0, 0.0002
64.5, 0.0026, 0.0028, 0.0001, 0
65, 0.0018, 0.001, 0, 0.0001
65.5, 0.001, 0, 0, 0
66, 0.002, 0.0012, 0, 0
66.5, 0.0024, 0.0048, 0, 0.0002
67, 0.002, 0.002, 0, 0.0001
67.5, 0, 0, 0, 0
68, 0.001, 0.003, 0, 0
68.5, 0, 0, 0, 0.0001
69, 0.0008, 0.0016, 0, 0.0001
69.5, 0.002, 0.0022, 0, 0.0001
70, 0.0036, 0.004, 0, 0
70.5, 0.0008, 0.0016, 0, 0
71, 0.0012, 0.0018, 0.0001, 0
71.5, 0.002, 0.003, 0, 0
72, 0.0028, 0.0028, 0, 0.0002
72.5, 0, 0, 0, 0
73, 0.0014, 0.0024, 0, 0.0001
73.5, 0.0034, 0.0028, 0.0002, 0.0005
74, 0.0006, 0.0004, 0, 0
74.5, 0.0018, 0.002, 0, 0.0002
75, 0.0022, 0.0012, 0, 0.0001
75.5, 0.001, 0.0012, 0, 0.0001
76, 0.001, 0.0016, 0, 0.0001
76.5, 0.0026, 0.0032, 0, 0.0003
77, 0.0004, 0.0026, 0, 0
77.5, 0.0034, 0.0022, 0, 0.0001
78, 0.0018, 0.0008, 0, 0.0003
78.5, 0.0036, 0.0014, 0, 0.0001
79, 0.0016, 0.001, 0, 0
79.5, 0.0024, 0.003, 0, 0.0004
80, 0.001, 0.0006, 0, 0
80.5, 0.0012, 0.001, 0, 0
81, 0.0034, 0.0088, 0, 0.0001
81.5, 0.0004, 0.0008, 0, 0.0003
82, 0.0032, 0.0026, 0, 0.0002
82.5, 0.0016, 0.0044, 0, 0.0001
83, 0, 0.002, 0, 0.0001
83.5, 0.0006, 0, 0, 0.0001
84, 0, 0, 0, 0
84.5, 0.002, 0.0028, 0.0002, 0.0002
85, 0.0014, 0.0012, 0, 0.0003
85.5, 0.0008, 0.0018, 0, 0
86, 0.0018, 0.0016, 0, 0.0001
86.5, 0.0014, 0.0012, 0, 0.0001
87, 0.003, 0.0016, 0.0002, 0.0001
87.5, 0, 0.0016, 0, 0.0003
88, 0.0014, 0.001, 0, 0.0002
88.5, 0.002, 0.001, 0, 0
89, 0, 0.0014, 0, 0
89.5, 0.0018, 0.0014, 0, 0
90, 0.0022, 0.0022, 0, 0
90.5, 0, 0, 0, 0
91, 0.0022, 0.0002, 0, 0.0001
91.5, 0.0008, 0.0014, 0, 0.0002
92, 0.0022, 0.0008, 0.0002, 0.0001
92.5, 0.0016, 0.001, 0.0001, 0
93, 0.0008, 0.0016, 0.0001, 0.0001
93.5, 0.0014, 0.0012, 0.0001, 0.0001
94, 0.0008, 0, 0, 0.0001
94.5, 0.0012, 0.0018, 0.0001, 0.0001
95, 0, 0, 0, 0.0003
95.5, 0, 0.0008, 0, 0.0001
96, 0.0012, 0.001, 0, 0.0002
96.5, 0.0006, 0.0004, 0.0001, 0.0002
97, 0.0026, 0.0024, 0, 0.0003
97.5, 0.0022, 0.002, 0.0002, 0.0002
98, 0.0008, 0.001, 0.0001, 0.0001
98.5, 0, 0.0018, 0, 0.0002
99, 0.0026, 0.0012, 0, 0
99.5, 0.0026, 0.0022, 0, 0.0002
100, 0.0012, 0.0014, 0, 0.0003
100.5, 0.0008, 0, 0, 0.0001
101, 0.0002, 0.0004, 0.0001, 0.0001
